-1,name,club_logo,flag,photo,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,agility,balance,reactions,ball_control,dribbling,composure,interceptions,heading_accuracy,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,position
7178,A. Putivtsev,https://cdn.sofifa.org/18/teams/112510.png,https://cdn.sofifa.org/flags/49@3x.png,https://cdn.sofifa.org/18/players/232550.png,43,57,26,25,57,42,25,35,27,41,46,56,66,25,53,58,59,43,34,65,67,67,67,69,65,75,62,83,51,cb
7179,P. Huntington,https://cdn.sofifa.org/18/teams/1801.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/170342.png,42,44,26,35,38,21,29,43,41,26,35,42,44,24,30,37,52,38,26,39,57,76,68,69,64,67,52,86,84,cb
7180,K. McFadzean,https://cdn.sofifa.org/18/teams/15015.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/173671.png,51,50,20,35,51,33,28,36,47,20,28,53,45,22,33,52,56,50,43,45,70,65,61,67,63,67,69,85,80,cb
7181,S. Wangberg,https://cdn.sofifa.org/18/teams/418.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/189544.png,58,55,47,31,62,37,44,21,50,43,32,56,55,34,45,46,64,60,33,62,66,63,63,66,63,61,65,81,77,cb
7182,S. Hines,https://cdn.sofifa.org/18/teams/112606.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/183147.png,61,70,27,36,21,29,31,50,39,49,34,64,56,36,54,63,60,55,48,58,66,66,64,65,64,74,66,75,63,cb
7183,M. Wynne,https://cdn.sofifa.org/18/teams/111928.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/176240.png,86,88,57,44,63,52,44,56,39,55,40,60,40,58,69,72,63,61,61,63,59,59,62,66,66,90,69,75,78,cb
7184,S. Anderson,https://cdn.sofifa.org/18/teams/100804.png,https://cdn.sofifa.org/flags/42@3x.png,https://cdn.sofifa.org/18/players/163955.png,29,38,28,13,35,18,19,16,49,55,15,54,42,48,66,58,66,59,47,76,65,73,64,65,64,71,60,79,73,cb
7185,G. Miura,https://cdn.sofifa.org/18/teams/112093.png,https://cdn.sofifa.org/flags/163@3x.png,https://cdn.sofifa.org/18/players/237429.png,63,63,40,21,31,18,20,41,23,43,42,59,52,25,51,64,60,47,35,41,65,68,69,71,68,73,72,64,64,cb
7186,M. Bani,https://cdn.sofifa.org/18/teams/192.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/224378.png,54,62,12,12,23,11,17,19,15,12,17,48,33,13,48,41,60,52,50,59,62,62,72,70,66,75,68,81,65,cb
7187,D. Del Fabro,https://cdn.sofifa.org/18/teams/112225.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/211067.png,68,68,22,23,58,40,34,36,32,25,21,51,47,22,60,64,52,51,50,60,64,70,68,70,70,88,63,67,68,cb
7188,Pol Garcia,https://cdn.sofifa.org/18/teams/111434.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/211323.png,48,66,22,22,49,37,27,52,29,54,33,49,54,33,56,37,58,53,36,59,68,68,72,68,68,73,43,68,58,cb
7189,J. Brechet,https://cdn.sofifa.org/18/teams/110316.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/4732.png,28,28,43,37,59,54,46,59,54,62,60,65,62,59,25,47,51,57,27,62,64,69,67,68,65,66,55,76,67,cb
7190,E. Zenteno,,https://cdn.sofifa.org/flags/53@3x.png,https://cdn.sofifa.org/18/players/212094.png,58,59,27,16,32,16,30,32,28,25,26,35,26,26,48,61,66,30,30,37,70,59,77,75,72,73,62,73,44,cb
7191,M. Sivakow,https://cdn.sofifa.org/18/teams/110234.png,https://cdn.sofifa.org/flags/6@3x.png,https://cdn.sofifa.org/18/players/191002.png,32,32,65,51,71,70,64,53,64,56,54,68,65,61,54,50,65,68,59,58,60,69,67,70,64,67,55,76,63,cb
7192,S. McQueen,https://cdn.sofifa.org/18/teams/17.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/215756.png,74,76,47,47,48,51,42,52,57,72,47,60,57,67,73,72,62,69,71,57,62,53,62,67,61,61,73,71,55,wb
7193,Sebas Coris,https://cdn.sofifa.org/18/teams/479.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/221179.png,71,71,57,59,50,60,47,49,65,65,35,67,54,39,71,53,55,68,70,60,63,55,65,66,63,58,71,62,33,wb
7194,F. Rherras,https://cdn.sofifa.org/18/teams/110724.png,https://cdn.sofifa.org/flags/129@3x.png,https://cdn.sofifa.org/18/players/228348.png,79,84,58,57,78,58,54,52,56,65,51,57,53,53,77,63,61,62,67,63,62,62,64,65,65,72,74,71,65,wb
7195,O. Kakabadze,https://cdn.sofifa.org/18/teams/15019.png,https://cdn.sofifa.org/flags/20@3x.png,https://cdn.sofifa.org/18/players/235005.png,85,82,58,41,61,39,34,49,61,65,52,57,54,61,74,55,59,70,69,58,63,56,64,66,65,57,72,70,70,wb
7196,Rober Correa,https://cdn.sofifa.org/18/teams/1968.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/208638.png,68,76,44,38,64,36,41,41,54,70,44,59,52,43,68,75,58,55,46,58,69,55,72,71,68,70,60,69,74,wb
7197,H. Aslantas,https://cdn.sofifa.org/18/teams/112122.png,https://cdn.sofifa.org/flags/48@3x.png,https://cdn.sofifa.org/18/players/162814.png,67,67,59,51,41,54,42,49,57,64,48,61,67,56,66,53,60,63,54,61,63,58,68,63,75,74,69,69,68,wb
7198,K. Wolze,https://cdn.sofifa.org/18/teams/1825.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/184273.png,77,79,60,63,70,62,61,68,64,64,71,63,60,65,73,75,62,67,66,64,67,51,62,62,64,69,77,67,73,wb
7199,P. Gibaud,https://cdn.sofifa.org/18/teams/226.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/176849.png,70,67,46,36,59,54,44,43,46,41,31,60,57,53,59,68,65,66,50,65,70,67,70,69,73,72,71,80,66,wb
7200,G. Lovrencsics,,https://cdn.sofifa.org/flags/23@3x.png,https://cdn.sofifa.org/18/players/210129.png,88,86,59,63,80,72,58,70,64,68,46,65,59,67,73,68,68,68,70,57,58,64,65,59,52,85,80,71,61,wb
7201,Kim Yong Hwan,https://cdn.sofifa.org/18/teams/110765.png,https://cdn.sofifa.org/flags/167@3x.png,https://cdn.sofifa.org/18/players/221647.png,78,91,67,38,40,40,21,35,58,66,35,67,48,28,76,77,66,66,67,61,59,42,61,63,62,60,75,64,68,wb
7202,B. Kopplin,https://cdn.sofifa.org/18/teams/112425.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/180174.png,81,83,48,30,53,38,44,36,52,60,61,61,56,58,69,67,64,63,63,68,60,61,64,66,66,60,76,74,56,wb
7203,S. Takahashi,https://cdn.sofifa.org/18/teams/101146.png,https://cdn.sofifa.org/flags/163@3x.png,https://cdn.sofifa.org/18/players/232909.png,67,65,46,26,54,32,37,45,44,68,34,56,51,50,75,78,63,63,43,42,64,47,68,67,64,62,85,58,75,wb
7204,C. Lykogiannis,https://cdn.sofifa.org/18/teams/209.png,https://cdn.sofifa.org/flags/22@3x.png,https://cdn.sofifa.org/18/players/210381.png,75,71,63,62,78,74,55,58,58,66,70,66,65,69,43,53,60,65,65,50,63,52,66,64,67,63,73,77,56,wb
7205,J. Harvey,https://cdn.sofifa.org/18/teams/101112.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/178379.png,64,68,55,55,53,59,40,49,52,62,39,64,55,65,68,68,65,62,57,60,69,54,64,67,67,67,82,71,61,wb
7206,K. Hause,https://cdn.sofifa.org/18/teams/110.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/210635.png,67,67,32,35,70,50,31,40,56,52,26,62,60,32,63,62,62,54,53,49,63,58,68,70,69,72,67,80,58,wb
7207,J. Seldinarez,https://cdn.sofifa.org/18/teams/112655.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/159945.png,63,71,42,40,50,50,44,46,56,57,62,43,30,72,53,61,71,56,64,72,69,67,63,70,72,77,50,55,73,wb
7208,P. Stolarski,https://cdn.sofifa.org/18/teams/111091.png,https://cdn.sofifa.org/flags/37@3x.png,https://cdn.sofifa.org/18/players/213449.png,82,93,61,51,55,48,52,47,62,65,36,65,62,48,68,66,53,63,62,59,56,55,62,61,64,43,83,72,52,wb
7209,E. Loboa,https://cdn.sofifa.org/18/teams/101099.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/209609.png,81,86,60,59,65,58,59,69,61,64,60,62,64,68,83,71,62,65,66,59,60,46,56,51,53,69,77,68,60,wb
7210,A. Falatah,https://cdn.sofifa.org/18/teams/607.png,https://cdn.sofifa.org/flags/183@3x.png,https://cdn.sofifa.org/18/players/191432.png,75,69,64,43,66,55,23,55,62,68,59,65,67,58,78,65,64,63,63,62,66,65,64,64,62,81,78,77,84,wb
7211,J. Nerwinski,https://cdn.sofifa.org/18/teams/101112.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/237252.png,82,85,47,24,45,29,21,32,57,67,18,61,57,49,74,59,56,60,60,41,64,54,66,64,62,75,73,70,60,wb
7212,T. Mears,https://cdn.sofifa.org/18/teams/112885.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/119233.png,70,66,60,41,63,55,53,46,59,69,68,65,65,70,68,68,66,64,64,66,64,55,66,66,66,57,65,70,72,wb
7213,P. Gregor,https://cdn.sofifa.org/18/teams/1788.png,https://cdn.sofifa.org/flags/13@3x.png,https://cdn.sofifa.org/18/players/212417.png,61,66,31,29,48,61,33,28,42,36,21,61,56,41,73,64,67,61,50,62,64,64,71,68,65,86,75,67,50,wb
7214,B. Dickenson,https://cdn.sofifa.org/18/teams/1935.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/207806.png,85,90,57,66,69,68,56,54,55,70,64,57,52,69,76,71,57,64,70,65,57,51,59,63,61,70,78,76,60,wb
7215,D. Kempe,https://cdn.sofifa.org/18/teams/506.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/203966.png,62,80,49,25,68,56,31,52,51,58,49,60,57,57,58,59,62,61,62,65,64,62,69,70,68,76,72,76,69,wb
7216,J. Bornstein,https://cdn.sofifa.org/18/teams/110150.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/176061.png,72,62,51,46,67,58,51,62,51,67,62,65,56,67,67,67,68,63,65,65,61,61,64,68,69,74,64,65,69,wb
7217,B. Bese,https://cdn.sofifa.org/18/teams/1738.png,https://cdn.sofifa.org/flags/23@3x.png,https://cdn.sofifa.org/18/players/234172.png,80,85,63,47,64,58,26,44,32,64,29,65,54,32,59,57,66,61,62,60,56,54,64,66,61,51,86,80,68,wb
7218,Isaac Carcelen,https://cdn.sofifa.org/18/teams/15012.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/220348.png,74,77,68,34,58,43,26,46,56,66,69,61,58,62,67,76,61,60,63,59,60,61,54,67,66,58,89,67,67,wb
7219,C. Del Grosso,https://cdn.sofifa.org/18/teams/205.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/173305.png,75,68,68,38,63,51,33,42,48,76,55,70,74,65,70,74,68,66,61,59,64,56,66,65,71,63,45,56,69,wb
7220,J. Hergault,https://cdn.sofifa.org/18/teams/614.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/222969.png,63,67,55,40,50,50,28,42,69,69,48,67,63,69,69,64,64,65,67,63,68,50,60,66,65,42,81,70,59,wb
7221,B. Verboom,https://cdn.sofifa.org/18/teams/100081.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/206040.png,77,76,61,48,66,62,40,43,58,66,56,60,61,60,72,78,63,65,65,65,61,59,67,67,67,82,69,71,70,wb
7222,R. van der Meer,https://cdn.sofifa.org/18/teams/1903.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/224217.png,67,70,55,34,53,41,33,42,51,67,35,62,65,54,48,45,59,62,64,59,64,70,65,66,61,61,83,88,74,wb
7223,Y. van Nieff,https://cdn.sofifa.org/18/teams/1915.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/208602.png,50,45,50,57,86,76,65,73,69,80,80,66,70,81,65,64,68,66,62,60,68,56,65,66,67,63,72,73,67,wb
7224,Campins,https://cdn.sofifa.org/18/teams/110854.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/220122.png,79,81,55,31,56,34,33,45,51,69,35,61,53,57,64,63,62,59,60,59,64,58,63,63,68,66,72,55,61,wb
7225,J. Kalla,https://cdn.sofifa.org/18/teams/110329.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/184283.png,68,68,59,41,59,43,38,46,57,57,41,64,59,45,66,66,66,65,58,70,62,63,65,67,70,76,80,65,70,wb
7226,S. Hlanti,,https://cdn.sofifa.org/flags/140@3x.png,https://cdn.sofifa.org/18/players/233437.png,74,71,51,31,41,28,33,43,52,62,38,58,67,51,52,58,59,63,69,64,68,53,71,76,68,60,62,66,53,wb
7227,Joel,https://cdn.sofifa.org/18/teams/10020.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/235486.png,72,72,54,40,45,40,47,55,50,60,55,65,62,50,68,59,65,64,61,57,64,63,65,67,66,65,77,71,67,wb
7228,M. Ticinovic,https://cdn.sofifa.org/18/teams/2007.png,https://cdn.sofifa.org/flags/10@3x.png,https://cdn.sofifa.org/18/players/208097.png,76,69,56,51,62,40,45,56,61,65,51,61,57,59,73,75,72,68,70,69,65,58,66,67,63,70,66,68,75,wb
7229,J. Mondragon,https://cdn.sofifa.org/18/teams/110152.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/225505.png,54,60,44,49,52,29,31,48,47,30,29,62,49,36,50,62,57,62,32,52,68,69,64,69,71,70,75,66,61,wb
7230,F. Cubero,https://cdn.sofifa.org/18/teams/101088.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/142818.png,58,52,53,47,58,69,61,70,65,62,52,65,62,48,69,76,76,69,60,59,72,64,75,72,71,68,38,62,77,wb
7231,F. Duplus,https://cdn.sofifa.org/18/teams/64.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/188387.png,76,73,50,32,36,33,31,35,51,61,34,63,66,48,74,70,63,61,56,63,64,64,63,67,66,80,75,63,68,wb
7232,C. Tierney,https://cdn.sofifa.org/18/teams/691.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/190184.png,59,61,68,50,77,60,54,62,69,74,75,67,64,78,62,67,71,66,60,61,64,61,65,65,64,70,74,70,59,wb
7233,F. Evangelista,https://cdn.sofifa.org/18/teams/1877.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/211433.png,66,69,52,45,63,57,43,51,58,67,44,66,63,32,62,59,65,64,65,53,63,70,65,68,66,81,64,74,62,wb
7234,M. Brecko,https://cdn.sofifa.org/18/teams/171.png,https://cdn.sofifa.org/flags/44@3x.png,https://cdn.sofifa.org/18/players/158444.png,59,55,48,32,54,36,29,42,39,68,34,54,59,56,57,65,61,62,57,72,67,61,73,72,72,67,66,65,76,wb
7235,S. Warnock,https://cdn.sofifa.org/18/teams/15015.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/53998.png,60,52,41,56,65,43,36,63,45,68,60,64,58,53,60,54,71,60,65,70,70,63,69,70,68,68,69,69,77,wb
7236,Manu,https://cdn.sofifa.org/18/teams/15012.png,https://cdn.sofifa.org/flags/47@3x.png,https://cdn.sofifa.org/18/players/157168.png,68,64,59,53,59,62,47,75,57,64,64,72,59,73,69,79,64,59,58,77,69,45,72,69,64,72,75,61,68,wb
7237,E. Garre,https://cdn.sofifa.org/18/teams/111711.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/226545.png,67,63,59,44,73,62,34,57,68,80,68,66,64,48,67,71,64,66,62,53,71,50,65,61,62,62,66,62,71,wb
7238,Jang Ho Ik,https://cdn.sofifa.org/18/teams/983.png,https://cdn.sofifa.org/flags/167@3x.png,https://cdn.sofifa.org/18/players/233457.png,84,85,58,45,48,45,33,41,59,64,39,65,58,38,78,65,66,64,66,59,59,44,66,66,65,61,78,63,71,wb
7239,G. Re,https://cdn.sofifa.org/18/teams/110405.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/143603.png,62,65,33,39,46,58,61,60,45,42,59,51,45,64,61,57,63,48,36,64,64,66,68,66,65,82,66,78,67,wb
7240,J. Skjelvik,https://cdn.sofifa.org/18/teams/298.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/188917.png,90,91,57,51,65,53,53,46,54,60,60,65,61,54,74,65,66,61,59,60,68,50,68,68,65,68,79,72,65,wb
7241,H. Jimenez,https://cdn.sofifa.org/18/teams/687.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/202231.png,73,77,66,54,71,60,56,60,71,70,53,67,59,74,77,81,61,65,61,62,66,57,63,68,59,72,64,54,57,wb
7242,M. Pavelic,https://cdn.sofifa.org/18/teams/254.png,https://cdn.sofifa.org/flags/4@3x.png,https://cdn.sofifa.org/18/players/219640.png,77,73,58,53,54,54,47,37,57,68,47,60,64,58,74,71,60,66,62,55,53,48,72,67,74,71,73,64,57,wb
7243,E. Kwateng,https://cdn.sofifa.org/18/teams/71.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/230074.png,70,66,31,30,41,38,39,37,56,65,31,69,64,30,69,63,56,70,66,59,63,66,69,72,71,60,53,58,64,wb
7244,M. Boxall,https://cdn.sofifa.org/18/teams/111138.png,https://cdn.sofifa.org/flags/198@3x.png,https://cdn.sofifa.org/18/players/202170.png,57,72,59,35,61,33,54,42,52,58,43,63,57,56,49,52,64,60,56,61,58,65,62,64,62,76,65,85,69,wb
7245,S. Wootton,https://cdn.sofifa.org/18/teams/1798.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/203264.png,51,62,35,16,39,18,32,43,35,57,18,61,62,23,61,59,55,60,54,56,66,67,65,68,66,72,68,72,65,cb
7246,B. Bajic,https://cdn.sofifa.org/18/teams/1825.png,https://cdn.sofifa.org/flags/8@3x.png,https://cdn.sofifa.org/18/players/173568.png,31,32,41,31,58,44,45,69,58,60,64,58,67,39,34,55,66,60,45,74,69,67,66,67,58,77,33,80,67,cb
7247,D. Werker,https://cdn.sofifa.org/18/teams/1902.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/215297.png,50,53,25,29,58,27,31,40,52,47,27,52,48,30,43,57,60,51,38,63,59,65,67,73,69,62,65,76,66,cb
7248,Ko Tae Won,https://cdn.sofifa.org/18/teams/1475.png,https://cdn.sofifa.org/flags/167@3x.png,https://cdn.sofifa.org/18/players/232193.png,65,57,31,33,31,20,23,30,26,26,22,57,52,25,60,64,63,41,34,59,68,65,68,70,66,63,68,72,63,cb
7249,K. Ajer,https://cdn.sofifa.org/18/teams/78.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/224258.png,74,75,52,58,64,59,41,49,64,55,52,68,64,58,55,41,64,66,64,70,63,65,63,65,64,58,80,78,63,cb
7250,D. Bakker,https://cdn.sofifa.org/18/teams/650.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/212485.png,55,53,56,39,70,61,41,47,65,65,62,67,67,56,69,65,65,68,64,67,66,63,62,63,66,72,74,62,77,cb
7251,H. Cinemre,https://cdn.sofifa.org/18/teams/101026.png,https://cdn.sofifa.org/flags/48@3x.png,https://cdn.sofifa.org/18/players/224774.png,69,72,25,24,46,27,33,45,31,27,28,61,52,29,65,60,64,42,41,44,64,64,66,68,62,74,68,74,78,cb
7252,R. Kiernan,https://cdn.sofifa.org/18/teams/1954.png,https://cdn.sofifa.org/flags/25@3x.png,https://cdn.sofifa.org/18/players/190983.png,69,64,28,15,39,32,32,30,49,49,33,63,59,40,63,55,57,60,52,56,62,69,60,66,70,71,74,78,68,cb
7253,F. Ogier,https://cdn.sofifa.org/18/teams/226.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/200968.png,51,53,15,20,57,30,23,44,23,23,34,55,50,33,56,63,59,58,40,60,62,66,66,69,63,83,63,75,68,cb
7254,N. Hammann,https://cdn.sofifa.org/18/teams/110588.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/229384.png,70,74,52,50,72,65,30,62,43,68,65,63,67,69,59,61,61,62,57,59,67,59,62,67,65,76,68,74,78,cb
7255,K. Wæhler,https://cdn.sofifa.org/18/teams/1465.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/148745.png,38,31,30,25,66,35,23,22,37,38,26,48,38,23,33,56,65,45,27,66,69,69,66,65,63,75,30,73,80,cb
7256,S. Taniguchi,https://cdn.sofifa.org/18/teams/111730.png,https://cdn.sofifa.org/flags/163@3x.png,https://cdn.sofifa.org/18/players/233225.png,64,70,45,30,58,45,36,45,35,54,32,55,60,35,57,62,57,53,51,60,67,68,63,71,65,79,75,71,66,cb
7257,T. Nara,https://cdn.sofifa.org/18/teams/111730.png,https://cdn.sofifa.org/flags/163@3x.png,https://cdn.sofifa.org/18/players/233226.png,70,73,21,23,56,46,38,35,25,32,30,59,46,35,62,58,60,52,48,57,63,68,69,67,61,83,69,74,70,cb
7258,E. Burgos,https://cdn.sofifa.org/18/teams/100831.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/224524.png,44,45,32,23,58,27,29,35,29,32,26,52,45,33,48,43,58,50,48,57,69,66,70,69,64,45,68,82,69,cb
7259,M. Hongla,https://cdn.sofifa.org/18/teams/110832.png,https://cdn.sofifa.org/flags/103@3x.png,https://cdn.sofifa.org/18/players/236556.png,60,62,25,29,59,58,39,45,58,46,29,66,64,35,69,71,63,62,30,55,69,64,72,68,66,72,57,62,62,cb
7260,Maurisio Clerez,https://cdn.sofifa.org/18/teams/112476.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/230413.png,64,56,48,40,59,47,44,47,49,58,56,65,54,53,59,55,60,51,56,61,59,69,71,68,66,62,58,76,57,cb
7261,M. Connolly,https://cdn.sofifa.org/18/teams/1961.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/167694.png,62,63,60,44,63,48,29,38,57,58,25,63,57,22,46,49,58,63,55,69,66,71,69,70,70,75,71,79,72,cb
7262,A. Seck,https://cdn.sofifa.org/18/teams/1757.png,https://cdn.sofifa.org/flags/136@3x.png,https://cdn.sofifa.org/18/players/217620.png,69,77,23,36,56,51,26,46,43,22,29,57,38,28,56,65,60,54,54,68,66,66,58,62,54,83,76,90,84,cb
7263,Oh Beom Seok,https://cdn.sofifa.org/18/teams/112115.png,https://cdn.sofifa.org/flags/167@3x.png,https://cdn.sofifa.org/18/players/165908.png,69,81,59,43,52,52,39,67,61,58,51,65,58,52,68,66,72,61,61,60,68,56,61,69,64,76,63,85,71,cb
7264,S. Grippo,https://cdn.sofifa.org/18/teams/244.png,https://cdn.sofifa.org/flags/47@3x.png,https://cdn.sofifa.org/18/players/177684.png,58,61,61,48,60,58,49,56,60,53,54,64,62,55,57,52,61,60,52,62,66,68,60,65,53,75,76,82,79,cb
7265,S. Franklin,https://cdn.sofifa.org/18/teams/688.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/186645.png,74,77,61,50,71,55,38,53,55,63,62,65,55,61,66,71,63,59,63,63,64,61,65,64,63,73,73,69,70,cb
7266,Carlos Delgado,https://cdn.sofifa.org/18/teams/1854.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/200727.png,63,62,42,25,51,39,51,59,51,37,47,56,57,46,62,60,63,56,46,59,74,63,64,66,70,77,65,64,64,cb
7267,J. Jorgensen,https://cdn.sofifa.org/18/teams/112199.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/202263.png,66,60,43,51,74,56,55,56,56,59,48,66,64,60,76,72,64,62,60,67,66,57,65,61,59,82,83,82,75,cb
7268,M. Torren,https://cdn.sofifa.org/18/teams/111019.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/176920.png,72,73,49,39,53,51,39,35,47,39,50,56,55,60,66,67,57,51,53,52,67,67,71,68,67,84,73,76,48,cb
7269,Y. Konno,https://cdn.sofifa.org/18/teams/112093.png,https://cdn.sofifa.org/flags/163@3x.png,https://cdn.sofifa.org/18/players/173337.png,38,44,44,53,46,59,39,29,67,57,31,75,69,30,59,63,56,57,46,76,66,70,65,67,67,66,55,71,70,cb
7270,M. Holgate,https://cdn.sofifa.org/18/teams/7.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/225024.png,75,76,50,37,51,42,40,40,45,43,35,68,59,39,65,57,65,67,65,66,58,62,65,71,70,57,74,75,63,cb
7271,H. Mahbub,https://cdn.sofifa.org/18/teams/605.png,https://cdn.sofifa.org/flags/183@3x.png,https://cdn.sofifa.org/18/players/210843.png,76,78,63,30,60,53,27,40,54,68,55,55,53,51,74,64,60,63,56,45,59,63,66,63,64,82,79,77,61,wb
7272,A. Lundqvist,https://cdn.sofifa.org/18/teams/700.png,https://cdn.sofifa.org/flags/46@3x.png,https://cdn.sofifa.org/18/players/220600.png,78,76,48,42,71,57,64,53,65,65,63,64,62,75,79,79,68,68,57,67,65,46,59,66,62,77,75,43,69,wb
7273,F. Dabo,https://cdn.sofifa.org/18/teams/1909.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/213659.png,70,73,52,44,54,43,39,34,43,58,34,67,40,42,59,62,62,63,58,67,65,61,63,70,64,75,73,76,74,wb
7274,K. Haugen,https://cdn.sofifa.org/18/teams/300.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/209335.png,76,73,58,54,76,58,23,51,61,69,67,64,62,63,68,69,66,62,64,67,62,44,64,66,66,70,78,70,60,wb
7275,L. Dvali,https://cdn.sofifa.org/18/teams/110746.png,https://cdn.sofifa.org/flags/20@3x.png,https://cdn.sofifa.org/18/players/227766.png,47,65,24,23,51,36,28,32,39,28,37,46,44,34,43,36,56,44,31,56,63,60,71,72,68,59,78,76,70,wb
7276,M. Dyrestam,https://cdn.sofifa.org/18/teams/1439.png,https://cdn.sofifa.org/flags/46@3x.png,https://cdn.sofifa.org/18/players/191157.png,68,69,51,30,37,34,40,30,56,59,25,63,64,40,63,62,66,64,62,65,66,64,65,66,64,75,74,78,59,wb
